<article id="GID_1941_96" name="J.H. Scholte" birth-date="1874" birth-place="NA" death-date="1959" death-place="NA">
<sentence id="1">
Simplicius_simplicissimus_De_Dertigjarige_Oorlog	Simplicius_simplicissimus_De_Dertigjarige_Oorlog	SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)	1.0
geschonken	schenken	WW(vd,vrij,zonder)	0.997746
aan	aan	VZ(init)	0.984083
een	een	LID(onbep,stan,agr)	0.999522
kind	kind	N(soort,ev,basis,onz,stan)	0.999255
van	van	VZ(init)	0.999849
het	het	LID(bep,stan,evon)	0.953933
mannelijk	mannelijk	ADJ(prenom,basis,zonder)	0.682236
geslacht	geslacht	N(soort,ev,basis,onz,stan)	0.745283
.	.	LET()	1.0
</sentence>
<sentence id="9">
De	de	LID(bep,stan,rest)	0.999701
geboorte	geboorte	N(soort,ev,basis,zijd,stan)	0.999183
kostte	kosten	WW(pv,verl,ev)	0.998062
aan	aan	VZ(init)	0.996734
de	de	LID(bep,stan,rest)	0.999643
moeder	moeder	N(soort,ev,basis,zijd,stan)	0.997481
het	het	LID(bep,stan,evon)	0.702075
leven	leven	N(soort,ev,basis,onz,stan)	0.68
.	.	LET()	1.0
</sentence>
<sentence id="10">
De	de	LID(bep,stan,rest)	0.999701
boer	boer	N(soort,ev,basis,zijd,stan)	0.999183
nam	nemen	WW(pv,verl,ev)	0.997655
het	het	LID(bep,stan,evon)	0.997742
kind	kind	N(soort,ev,basis,onz,stan)	0.999255
op	op	VZ(fin)	0.681818
in	in	VZ(init)	0.888889
zijn	zijn	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.974567
gezin	gezin	N(soort,ev,basis,onz,stan)	0.999486
,	,	LET()	1.0
dat	dat	VNW(aanw,pron,stan,vol,3o,ev)	0.875
,	,	LET()	1.0
toen	toen	VG(onder)	0.92
het	het	VNW(pers,pron,stan,red,3,ev,onz)	0.962025
in	in	VZ(init)	0.99935
de	de	LID(bep,stan,rest)	0.981886
streek	streek	N(soort,ev,basis,zijd,stan)	0.758532
iets	iets	VNW(onbep,pron,stan,vol,3o,ev)	0.998571
rustiger	rustig	ADJ(vrij,comp,zonder)	0.986577
begon	beginnen	WW(pv,verl,ev)	0.994907
te	te	VZ(init)	0.999976
worden	worden	WW(inf,vrij,zonder)	0.794038
,	,	LET()	1.0
naar	naar	VZ(init)	0.999754
de	de	LID(bep,stan,rest)	0.999964
hoeve	hoeve	N(soort,ev,basis,zijd,stan)	0.999183
terugkeerde	terugkeren	WW(pv,verl,ev)	0.997744
.	.	LET()	1.0
</sentence>
<sentence id="11">
Het	het	LID(bep,stan,evon)	0.992308
jongetje	jongen	N(soort,ev,dim,onz,stan)	0.998951
groeide	groeien	WW(pv,verl,ev)	0.996536
op	op	VZ(fin)	0.95
met	met	VZ(init)	0.99948
het	het	LID(bep,stan,evon)	0.984975
eigen	eigen	ADJ(prenom,basis,zonder)	0.935281
dochtertje	dochter	N(soort,ev,dim,onz,stan)	0.999548
.	.	LET()	1.0
</sentence>
<sentence id="12">
Voor	voor	VZ(init)	0.934135
onderwijs	onderwijs	N(soort,ev,basis,onz,stan)	0.992
was	zijn	WW(pv,verl,ev)	0.99656
geen	geen	VNW(onbep,det,stan,prenom,zonder,agr)	0.999753
gelegenheid	gelegenheid	N(soort,ev,basis,zijd,stan)	0.999633
,	,	LET()	1.0
er	er	VNW(aanw,adv-pron,stan,red,3,getal)	0.996815
werd	worden	WW(pv,verl,ev)	0.993377
ook	ook	BW()	0.999979
geen	geen	VNW(onbep,det,stan,prenom,zonder,agr)	0.999753
behoefte	behoefte	N(soort,ev,basis,zijd,stan)	0.999172
aan	aan	VZ(fin)	0.97561
gevoeld	gevoelen	WW(vd,vrij,zonder)	0.996612
.	.	LET()	1.0
</sentence>
<sentence id="13">
In	in	VZ(init)	0.98766
plaats	plaats	N(soort,ev,basis,zijd,stan)	0.997757
daarvan	daarvan	BW()	0.998044
kreeg	krijgen	WW(pv,verl,ev)	0.997143
het	het	LID(bep,stan,evon)	0.974576
knaapje	knaap	N(soort,ev,dim,onz,stan)	0.999323
de	de	LID(bep,stan,rest)	0.999665
taak	taak	N(soort,ev,basis,zijd,stan)	0.999633
,	,	LET()	1.0
op	op	VZ(init)	0.99776
de	de	LID(bep,stan,rest)	0.999852
schapen	schaap	N(soort,mv,basis)	0.999311
te	te	VZ(init)	0.907459
passen	passen	WW(inf,vrij,zonder)	0.990499
.	.	LET()	1.0
</sentence>
<sentence id="14">
Hij	hij	VNW(pers,pron,nomin,vol,3,ev,masc)	0.999431
vond	vinden	WW(pv,verl,ev)	0.999349
een	een	LID(onbep,stan,agr)	0.995147
oude	oud	ADJ(prenom,basis,met-e,stan)	0.990169
fluit	fluit	N(soort,ev,basis,zijd,stan)	0.955128
,	,	LET()	1.0
ging	gaan	WW(pv,verl,ev)	0.999846
zich	zich	VNW(refl,pron,obl,red,3,getal)	0.99974
oefenen	oefenen	WW(pv,tgw,mv)	0.571429
en	en	VG(neven)	0.999801
meende	menen	WW(pv,verl,ev)	0.998062
door	door	VZ(init)	0.934156
zijn	zijn	VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)	0.998898
muziek	muziek	N(soort,ev,basis,zijd,stan)	0.99507
de	de	LID(bep,stan,rest)	0.999852
wolven	wolf	N(soort,mv,basis)	0.998628
op	op	VZ(init)	0.996441
een	een	LID(onbep,stan,agr)	0.999286
afstand	afstand	N(soort,ev,basis,zijd,stan)	0.999117
te	te	VZ(init)	0.999976
houden	houden	WW(inf,vrij,zonder)	0.938694
.	.	LET()	1.0
</sentence>
<sentence id="15">
Zo	zo	BW()	0.99845
was	zijn	WW(pv,verl,ev)	0.99656
de	de	LID(bep,stan,rest)	0.999643
jongen	jong	N(soort,ev,basis,zijd,stan)	0.978964
een_jaar_of	een_jaar_of	LID(onbep,stan,agr)_N(soort,ev,basis,onz,stan)_VG(neven)	0.645602
tien	tien	TW(hoofd,vrij)	0.75
geworden	geworden	WW(vd,vrij,zonder)	0.994059
,	,	LET()	1.0
toen	toen	VG(onder)	0.931034
de	de	LID(bep,stan,rest)	0.999647
oorlog	oorlog	N(soort,ev,basis,zijd,stan)	0.998626
opnieuw	opnieuw	BW()	0.992424
het	het	LID(bep,stan,evon)	0.702075
Spessartgebied	spessartgebied	N(soort,ev,basis,onz,stan)	0.777778
naderde	naderen	WW(pv,verl,ev)	0.997744
.	.	LET()	1.0
</sentence>
<sentence id="16">
Onverwachts	onverwacht	ADJ(vrij,basis,zonder)	0.988761
werd	worden	WW(pv,verl,ev)	0.999799
